SELLER INFO,SELLER TYPE,BHK,PRICE,Area in sqft,LOCATION,STATUS,PRICE PER SQ.FT
seller,OWNER,3 , 1.9 Cr,3000 ,Kollur,Under ConstructionConstruction Status,"6,333 / sq ft"
seller,OWNER,3 , 2.2 Cr,2540 ,Manikonda,Ready to moveConstruction Status,"8,661 / sq ft"
seller,OWNER,2 , 50 L,1175 ,Hastinapuram,Ready to moveConstruction Status,"4,255 / sq ft"
Dream Weavers Realty Consultants Pvt Ltd,AGENT,3 , 62.37 L,1025 ,Aushapur,Under ConstructionConstruction Status,"6,085 / sq ft"
seller,OWNER,2 , 80 L,2600 ,Mokila,Under ConstructionConstruction Status,"3,076 / sq ft"
seller,OWNER,2 , 69 L,1100 ,Nagole,Under ConstructionConstruction Status,"6,272 / sq ft"
seller,OWNER,4 , 77.99 L,1800 ,Indresham,Ready to moveConstruction Status,"4,333 / sq ft"
seller,OWNER,2 , 82.41 L,1230 ,Puppalaguda,Under ConstructionConstruction Status,"6,700 / sq ft"
seller,OWNER,3 , 1.03 Cr,1450 ,Madhapur,Under ConstructionConstruction Status,"7,103 / sq ft"
seller,OWNER,9 , 2.9 Cr,5400 ,Saidabad,Ready to moveConstruction Status,"5,370 / sq ft"
seller,OWNER,6 , 1.12 Cr,2300 ,Sainikpuri,Under ConstructionConstruction Status,"4,869 / sq ft"
seller,OWNER,2 , 50 L,1250 ,Kollur,Under ConstructionConstruction Status,"4,000 / sq ft"
seller,OWNER,2 , 2.5 Cr,1350 ,Chandanagar,Ready to moveConstruction Status,"18,518 / sq ft"
seller,OWNER,10 , 3.5 Cr,9468 ,Mehdipatnam,Ready to moveConstruction Status,"3,696 / sq ft"
seller,OWNER,3 , 42.77 L,1585 ,muthangi,Under ConstructionConstruction Status,"2,699 / sq ft"
seller,OWNER,2 , 60 L,1200 ,Ramachandra Puram,Ready to moveConstruction Status,"5,000 / sq ft"
seller,OWNER,2 , 59 L,1168 ,Mallapur,Ready to moveConstruction Status,"5,051 / sq ft"
